overall_pick,year,team,player,former,college,years_played,games,win_shares,win_shares_40,minutes_played,points,total_rebounds,assists
48,2000,Houston Comets,Latavia Coleman,,Florida State,0,,,,,,,
49,2000,Cleveland Rockers,Sophie Von Saldern,,California,0,,,,,,,
50,2000,Indiana Fever,Latina Davis,,Tennessee,0,,,,,,,
51,2000,Utah Starzz,Kristen Rasmussen,,Michigan State,9,276,12.9,0.095,19.7,4.4,3.6,1.3
52,2000,Orlando Miracle,Romana Hamzova,Czech Republic,,1,15,-0.1,-0.12,2.9,0.5,0.2,0.3
53,2000,Phoenix Mercury,Shantia Owens,,Kentucky,2,33,-0.3,-0.018,18.5,4,3,0.6
54,2000,Minnesota Lynx,Jana Lichnerova,,Saint Joseph's,0,,,,,,,
55,2000,Portland Fire,Rhonda Smith,,Cal State Long Beach,0,,,,,,,
56,2000,Minnesota Lynx,Shanele Stires,Columbus Quest (ABL),Kansas State,3,48,0.1,0.011,7.1,1.9,1,0.5
57,2000,Seattle Storm,Katrina Hibbert,,LSU,1,20,-0.2,-0.03,12,2.7,1.5,0.9
