overall_pick,year,team,player,former,college,years_played,games,win_shares,win_shares_40,minutes_played,points,total_rebounds,assists
22,2015,Chicago Sky,Aleighsa Welch,,South Carolina,0,,,,,,,
23,2015,New York Liberty,Amber Orrange,,Stanford,0,,,,,,,
24,2015,Phoenix Mercury,Zofia Hruscakova,Good Angels Košice (Slovakia),,0,,,,,,,
25,2015,Tulsa Shock,Mimi Mungedi,,Nevada,0,,,,,,,
26,2015,Seattle Storm,Nneka Enemkpali,,Texas,0,,,,,,,
27,2015,New York Liberty,Laurin Mincy,,Maryland,0,,,,,,,
28,2015,New York Liberty,Michala Johnson,,Wisconsin,0,,,,,,,
29,2015,Atlanta Dream,Ariel Massengale,,Tennessee,0,,,,,,,
30,2015,San Antonio Stars,Dragana Stankovic,UNIQA Euroleasing Sopron (Hungary),,0,,,,,,,
31,2015,Los Angeles Sparks,Andrea Hoover,,Dayton,1,12,-0.1,-0.033,14.3,3.8,1.3,0.3
32,2015,Washington Mystics,Marica Gajic,ŽKK Celje (Slovenia),,0,,,,,,,
33,2015,San Antonio Stars,Nikki Moody,,Iowa State,0,,,,,,,
34,2015,Atlanta Dream,Lauren Okafor,,James Madison University,0,,,,,,,
35,2015,Minnesota Lynx,Shae Kelley,,Minnesota,1,8,-0.1,-0.127,2.4,0.1,0.4,0.1
36,2015,Phoenix Mercury,Promise Amukamara,,Arizona State,0,,,,,,,
1,2014,Connecticut Sun,Chiney Ogwumike,,Stanford,6,160,18.4,0.192,23.9,11.8,6.7,0.9
2,2014,Tulsa Shock,Odyssey Sims,,Baylor,9,240,11,0.065,28.4,12.1,2.6,3.8
3,2014,San Antonio Stars,Kayla McBride,,Notre Dame,9,258,20.6,0.108,29.7,14.4,3.4,2.3
4,2014,New York Liberty,Alyssa Thomas,,Maryland,9,240,23.9,0.136,29.2,11.9,6.9,3.5
5,2014,Indiana Fever,Natasha Howard,,Florida State,9,270,18.6,0.132,20.8,10.2,5.1,1.2
6,2014,Washington Mystics,Stefanie Dolson,,UConn,9,271,17,0.107,23.5,9.2,4.8,1.8
7,2014,Seattle Storm,Bria Hartley,,UConn,9,207,4.4,0.042,20.3,7.9,2.2,2.6
8,2014,Atlanta Dream,Shoni Schimmel,,Louisville,4,85,1.6,0.045,17,6.6,1.9,2.8
9,2014,Indiana Fever,Natalie Achonwa,,Notre Dame,8,211,12.3,0.131,17.9,7.1,4.2,1.1
10,2014,Chicago Sky,Markeisha Gatling,,NC State,3,81,2.1,0.096,11,3.8,2.6,0.2
11,2014,Connecticut Sun,Chelsea Gray,,Duke,8,258,22.6,0.128,27.4,11.9,3,4.7
12,2014,Minnesota Lynx,,,Duke,2,,,,,,,
13,2014,Tulsa Shock,Jordan Hooper,,Nebraska,4,128,1.5,0.034,14.2,4.5,1.8,0.3
14,2014,New York Liberty,Tyaunna Marshall,,Georgia Tech,0,,,,,,,
15,2014,Minnesota Lynx,Asya Bussie,,West Virginia,0,,,,,,,
16,2014,San Antonio Stars,Astou Ndour,Gran Canarias (Spain),,6,114,3.7,0.092,14,5.4,3.3,0.4
17,2014,Phoenix Mercury,Tiffany Bias,,Oklahoma State,4,54,-0.7,-0.087,6.1,1.8,0.3,0.6
18,2014,Atlanta Dream,Inga Orekhova,,South Florida,2,6,-0.2,-0.395,4,0,0.3,0
19,2014,Seattle Storm,Michelle Plouffe,,Utah,0,,,,,,,
20,2014,Atlanta Dream,Cassie Harberts,,USC,0,,,,,,,
21,2014,Phoenix Mercury,Maggie Lucas,,Penn State,4,72,1.6,0.073,12.1,4.4,0.9,0.7
22,2014,Chicago Sky,Gennifer Brandon,,California,1,16,-0.1,-0.038,7.6,1.8,2.6,0.2
23,2014,Los Angeles Sparks,Jennifer Hamson,,BYU,2,37,0.7,0.109,6.7,1.8,1.7,0.2
24,2014,Minnesota Lynx,Christina Foggie,,Vanderbilt,0,,,,,,,
25,2014,Connecticut Sun,DeNesha Stallworth,,Kentucky,0,,,,,,,
26,2014,New York Liberty,Meighan Simmons,,Tennessee,2,36,-0.4,-0.084,5.3,2.7,0.4,0.3
27,2014,Tulsa Shock,Theresa Plaisance,,LSU,9,218,3.4,0.047,13.2,4.5,3,0.7
28,2014,San Antonio Stars,Bri Kulas,,Missouri,0,,,,,,,
29,2014,Indiana Fever,Haiden Palmer,,Gonzaga,0,,,,,,,
30,2014,Washington Mystics,Carley Mijovic,Canberra Capitals (Australia),,0,,,,,,,
31,2014,Seattle Storm,Mikaela Ruef,,Stanford,0,,,,,,,
32,2014,Washington Mystics,Kody Burke,,NC State,0,,,,,,,
33,2014,Phoenix Mercury,Stephanie Talbot,Adelaide Lightning (Australia),,5,162,5.4,0.08,16.7,4.8,2.6,1.4
34,2014,Chicago Sky,Jamierra Faulkner,,Southern Miss,5,131,0.1,0.003,16,6.2,1.4,3.1
35,2014,Los Angeles Sparks,Antonita Slaughter,,Louisville,0,,,,,,,
36,2014,Minnesota Lynx,Asia Taylor,,Louisville,5,76,0.5,0.036,7.4,2.2,1.6,0.5
1,2013,Phoenix Mercury,Brittney Griner,,Baylor,9,254,41.9,0.213,30.9,17.7,7.6,1.8
2,2013,Chicago Sky,Elena Delle Donne,,University of Delaware,9,218,47.4,0.285,30.5,19.8,6.8,1.8
3,2013,Tulsa Shock,Skylar Diggins-Smith,,Notre Dame,9,252,24.8,0.123,32.1,16.7,2.9,5
4,2013,Washington Mystics,Tayler Hill,,Ohio State,7,145,6,0.084,19.7,8.9,1.7,1.7
5,2013,New York Liberty,Kelsey Bone,,Texas A&M,5,168,4.4,0.053,19.6,8.1,4.6,1.2
6,2013,Seattle Storm,Tianna Hawkins,,Maryland,9,257,8.5,0.095,13.9,5.8,3.1,0.6
7,2013,New York Liberty,Toni Young,,Oklahoma State,2,39,0.4,0.04,9.8,3.5,1.6,0.4
8,2013,San Antonio Silver Stars,Kayla Alexander,,Syracuse,8,203,4,0.066,11.8,4,2.8,0.3
9,2013,Indiana Fever,Layshia Clarendon,,California,9,239,6.6,0.05,22.1,7.6,2.7,3.2
10,2013,Los Angeles Sparks,A'dia Mathies,,Kentucky,1,30,0.1,0.018,9.2,2.3,0.7,0.8
11,2013,Connecticut Sun,Kelly Faris,,UConn,4,112,1,0.031,11.7,2.1,1.6,0.7
12,2013,Minnesota Lynx,Lindsey Moore,,Nebraska,2,35,0,-0.009,6.6,1,0.6,1.1
13,2013,Atlanta Dream,Alex Bentley,,Penn State,7,222,8.5,0.062,24.6,10.6,1.7,2.9
14,2013,Minnesota Lynx,Sugar Rodgers,,Georgetown,8,247,9.7,0.086,18.2,7,2.5,1.6
15,2013,New York Liberty,Kamiko Williams,,Tennessee,1,34,-0.4,-0.032,13.3,2.6,2.1,0.9
16,2013,San Antonio Silver Stars,Davellyn Whyte,,Arizona,2,31,-0.3,-0.027,14.3,4.2,1.8,1.7
17,2013,Washington Mystics,Nadirah McKenith,,St. John's,2,38,0.6,0.081,8.1,2.5,1.1,0.9
18,2013,Seattle Storm,Chelsea Poppens,,Iowa State,1,8,0,0.026,7.9,1.1,2.1,0.1
19,2013,Washington Mystics,Emma Meesseman,Villeneuve-d'Ascq (France),,8,238,29.2,0.188,26.1,11.5,5.3,2.6
20,2013,San Antonio Silver Stars,Diandra Tchatchouang,Perpignan (France),,0,,,,,,,
21,2013,Indiana Fever,Jasmine Hassell,,Georgia,2,24,-0.2,-0.052,7.6,1.7,0.8,0.4
22,2013,Los Angeles Sparks,Brittany Chambers,,Kansas State,0,,,,,,,
23,2013,Connecticut Sun,Anna Prins,,Iowa State,0,,,,,,,
24,2013,Minnesota Lynx,Chucky Jeffery,,Colorado,2,17,0.1,0.049,4.6,1,0.9,0.2
25,2013,New York Liberty,Shenneika Smith,,St. John's,0,,,,,,,
26,2013,Phoenix Mercury,Nikki Greene,,Penn State,2,23,0,-0.012,6,0.8,1.5,0.1
27,2013,New York Liberty,Olcay Cakir,Fenerbahçe (Turkey),,0,,,,,,,
28,2013,Chicago Sky,Brooklyn Pope,,Baylor,0,,,,,,,
29,2013,Tulsa Shock,Angel Goodrich,,Kansas,3,82,0,0,14.9,2.9,1.3,2.2
30,2013,Seattle Storm,Jasmine James,,Georgia,1,16,-0.1,-0.03,11.9,3.1,1.4,1.8
31,2013,Atlanta Dream,Anne Marie Armstrong,,Georgia,1,9,0.1,0.128,2.8,0.7,0.4,0
32,2013,San Antonio Silver Stars,Whitney Hand,,Oklahoma,0,,,,,,,
33,2013,Indiana Fever,Jennifer George,,Florida,0,,,,,,,
34,2013,Los Angeles Sparks,Alina Iagupova,Elizabeth-Basket Kivorograd (Ukraine),,0,,,,,,,
35,2013,Connecticut Sun,Andrea Smith,,South Florida,0,,,,,,,
36,2013,Minnesota Lynx,Waltiea Rolle,,UNC,1,6,0.3,0.176,11,2.7,3.2,0.3
1,2012,Los Angeles Sparks,Nneka Ogwumike,,Stanford,11,320,57.2,0.243,29.4,16.2,7.4,1.9
2,2012,Seattle Storm,Shekinna Stricklen,,Tennessee,10,311,14.6,0.095,19.8,7.2,2.3,0.8
3,2012,Minnesota Lynx,Devereaux Peters,,Notre Dame,6,160,7,0.111,15.7,4.3,3.6,1.1
4,2012,Tulsa Shock,Glory Johnson,,Tennessee,8,222,15.8,0.105,27.2,11.4,7.4,1.3
5,2012,San Antonio Silver Stars,Shenise Johnson,,Miami (FL),8,205,9.7,0.091,20.8,8.2,3.6,1.8
6,2012,Phoenix Mercury,Samantha Prahalis,,Ohio State,3,41,-0.8,-0.031,24.8,8.4,2.5,3.5
7,2012,New York Liberty,Kelley Cain,,Tennessee,2,28,0,-0.004,6.5,1.2,1.5,0.1
8,2012,Washington Mystics,Natalie Novosel,,Notre Dame,1,31,0.1,0.011,9.9,3.2,1.3,0.7
9,2012,Connecticut Sun,Astan Dabo,Mali,,0,,,,,,,
10,2012,Washington Mystics,LaSondra Barrett,,LSU,0,,,,,,,
11,2012,Indiana Fever,Sasha Goodlett,,Georgia Tech,4,101,1.4,0.055,10.2,2.7,1.9,0.2
12,2012,Minnesota Lynx,Damiris Dantas,Brazil,,8,202,10.9,0.102,21.2,7.7,4.3,1.6
13,2012,Los Angeles Sparks,Farhiya Abdi,Frisco SIKA (Czech Republic),,3,52,-0.1,-0.01,9.6,2.9,1,0.4
14,2012,Atlanta Dream,Tiffany Hayes,,UConn,10,277,28.4,0.147,27.9,13.8,3.3,2.4
15,2012,Los Angeles Sparks,Khadijah Rushdan,,Rutgers University,0,,,,,,,
16,2012,Los Angeles Sparks,Tyra White,,Texas A&M,0,,,,,,,
17,2012,Tulsa Shock,Riquna Williams,,Miami (FL),10,253,17.3,0.127,21.6,10.5,2.2,1.5
18,2012,Minnesota Lynx,Julie Wojta,,Green Bay,2,4,0,0.006,7.3,1.5,2,0.3
19,2012,Minnesota Lynx,Kayla Standish,,Gonzaga,0,,,,,,,
20,2012,Minnesota Lynx,Nika Baric,Spartak Moscow (Russia),,0,,,,,,,
21,2012,Connecticut Sun,Chay Shegog,,UNC,1,3,0,-0.025,3,1,0.7,0
22,2012,Seattle Storm,Keisha Hampton,,DePaul,2,46,0.9,0.108,7.2,3,0.5,0.3
23,2012,Chicago Sky,Shey Peddy,,Temple,4,98,5.3,0.113,19,6.1,2.5,2.4
24,2012,Phoenix Mercury,C'eira Ricketts,,Arkansas,0,,,,,,,
25,2012,Tulsa Shock,Vicki Baugh,,Tennessee,3,78,2.3,0.096,12.1,4,3.5,0.4
26,2012,Washington Mystics,Anjale Barrett,,Maryland,0,,,,,,,
27,2012,Chicago Sky,Sydney Carter,,Texas A&M,4,65,-1.4,-0.065,13.1,2.9,1,1.3
28,2012,Los Angeles Sparks,April Sykes,,Rutgers University,1,30,0.5,0.081,8.6,3.1,1.1,0.6
29,2012,Tulsa Shock,Lynetta Kizer,,Maryland,7,180,5,0.086,12.9,5.8,2.8,0.3
30,2012,Phoenix Mercury,Christine Flores,,Missouri,0,,,,,,,
31,2012,Minnesota Lynx,Jacki Gemelos,,USC,2,35,-0.2,-0.028,8.8,1.9,0.8,0.6
32,2012,Atlanta Dream,Isabelle Yacoubou,Valencia (Spain),,0,,,,,,,
33,2012,Phoenix Mercury,Amanda Johnson,,Oregon,0,,,,,,,
34,2012,Indiana Fever,Courtney Hurt,,VCU,0,,,,,,,
35,2012,Washington Mystics,Briana Gilbreath-Butler,,USC,4,54,0.6,0.024,20,4.2,2.9,1.1
36,2012,New York Liberty,Katelan Redmon,,Gonzaga,1,7,-0.1,-0.134,6,1,1.1,0.3
1,2011,Minnesota Lynx,Maya Moore,,UConn,8,271,53.5,0.253,31.2,18.4,5.9,3.3
2,2011,Tulsa Shock,Liz Cambage,Bulleen Boomers (Australia),,6,167,20.1,0.197,24.5,15.8,7.5,1.6
3,2011,Chicago Sky,Courtney Vandersloot,,Gonzaga,12,359,29.7,0.117,28.3,10.2,3.2,6.6
4,2011,Minnesota Lynx,Amber Harris,,Xavier,5,112,1.9,0.079,8.4,2.7,1.8,0.5
5,2011,Los Angeles Sparks,Jantel Lavender,,Ohio State,11,342,15.8,0.092,20.1,8.1,4.6,1
6,2011,San Antonio Silver Stars,Danielle Robinson,,Oklahoma,11,327,17.8,0.082,26.5,9.1,2.8,4.2
7,2011,Tulsa Shock,Kayla Pedersen,,Stanford,6,184,2.4,0.033,15.9,3.4,3,1.1
8,2011,Atlanta Dream,Ta'Shia Phillips,,Xavier,1,15,0.2,0.104,4.8,1.5,1.3,0.1
9,2011,Indiana Fever,Jeanette Pohlen-Mavunga,,Stanford,6,148,3.9,0.078,13.4,3.4,1.2,0.8
10,2011,New York Liberty,Alex Montgomery,,Georgia Tech,8,216,2.5,0.028,16.3,4.2,3.4,1.2
11,2011,Washington Mystics,Victoria Dunlap,,Kentucky,2,31,0.3,0.046,8,2.3,1.7,0.4
12,2011,Seattle Storm,Jasmine Thomas,,Duke,12,358,11.7,0.05,26,9.6,2.8,3.7
13,2011,Minnesota Lynx,Jessica Breland,,UNC,9,269,10.8,0.076,21.2,7.1,5.9,1.4
14,2011,Minnesota Lynx,Felicia Chester,,DePaul,1,4,0,0.068,6.8,0.5,2,0
15,2011,Chicago Sky,Carolyn Swords,,Boston College,9,250,9.6,0.123,12.5,3.7,3.3,0.5
16,2011,Connecticut Sun,Sydney Colson,,Texas A&M,8,182,1.7,0.032,11.8,3.1,0.9,1.9
17,2011,Chicago Sky,Angie Bjorklund,,Tennessee,1,7,-0.1,-0.067,6.1,1.1,0.3,0.3
18,2011,Atlanta Dream,Rachel Jarry,Bulleen Boomers (Australia),,1,27,0.3,0.07,6.8,1.7,0.7,0.4
19,2011,Phoenix Mercury,Brittany Spears,,Colorado,0,,,,,,,
20,2011,San Antonio Silver Stars,Danielle Adams,,Texas A&M,6,174,10.4,0.125,19.1,10.5,3.9,0.8
21,2011,Tulsa Shock,Italee Lucas,,UNC,0,,,,,,,
22,2011,New York Liberty,Angel Robinson,,Marquette,0,,,,,,,
23,2011,Washington Mystics,Karima Christmas-Kelly,,Duke,10,243,15.1,0.108,22.9,7.9,3.7,1.3
24,2011,Seattle Storm,Ify Ibekwe,,Arizona,2,9,-0.2,-0.251,3.4,0.7,0.9,0
25,2011,Tulsa Shock,Chastity Reed,,Little Rock,1,11,-0.5,-0.125,13.2,3.5,1.9,0.7
26,2011,Minnesota Lynx,Kachine Alexander,,Iowa,0,,,,,,,
27,2011,Chicago Sky,Amy Jaeschke,,Northwestern,0,,,,,,,
28,2011,Connecticut Sun,Adrienne Johnson,,Louisiana Tech,0,,,,,,,
29,2011,Los Angeles Sparks,Elina Babkina,Lotos VBW Clima Gdynia (Poland),,0,,,,,,,
30,2011,San Antonio Silver Stars,Porsha Phillips,,Georgia,1,31,0.3,0.052,8.3,1.8,1.9,0.3
31,2011,Phoenix Mercury,Tahnee Robinson,,Nevada,0,,,,,,,
32,2011,Atlanta Dream,Kelsey Bolte,,Iowa State,0,,,,,,,
33,2011,Indiana Fever,Jori Davis,,Indiana,0,,,,,,,
34,2011,New York Liberty,Mekia Valentine,,UC Santa Barbara,0,,,,,,,
35,2011,Washington Mystics,Sarah Krnjic,Pécs 2010 (Hungary),,0,,,,,,,
36,2011,Seattle Storm,Krystal Thomas,,Duke,7,176,3.6,0.051,16.2,3.6,4.9,0.5
1,2010,Connecticut Sun,Tina Charles,,UConn,12,391,42.2,0.134,32.2,18.2,9.3,2.2
2,2010,Minnesota Lynx,Monica Wright,,Virginia,7,177,5.3,0.064,18.5,7.3,2.2,1.6
3,2010,Minnesota Lynx,Kelsey Griffin,,Nebraska,5,164,7.3,0.099,18,4.9,4.2,0.8
4,2010,Chicago Sky,Epiphanny Prince,,Rutgers University,13,305,29.8,0.168,23.2,11,2.3,2.6
5,2010,San Antonio Silver Stars,Jayne Appel-Marinelli,,Stanford,7,219,10.2,0.092,20.3,4,6.1,1.5
6,2010,Washington Mystics,Jacinta Monroe,,Florida State,2,21,0.2,0.045,6.6,1.7,1,0.2
7,2010,Connecticut Sun,Danielle McCray,,Kansas,3,80,1.3,0.047,13.9,4.6,2,1.1
8,2010,Los Angeles Sparks,Andrea Riley,,Oklahoma State,3,73,-1.9,-0.078,13,4.4,0.9,1.4
9,2010,Atlanta Dream,Chanel Mokango,,Mississippi State,1,21,-0.2,-0.126,3.4,0.4,0.6,0
10,2010,Seattle Storm,Alison Lacey,,Iowa State,1,21,-0.3,-0.073,6.9,0.8,0.8,0.5
11,2010,Indiana Fever,Jene Morris,,San Diego State,2,34,0.3,0.037,8.2,2.6,0.7,0.4
12,2010,Los Angeles Sparks,Bianca Thomas,,Ole Miss,0,,,,,,,
13,2010,New York Liberty,Kalana Greene,,UConn,6,167,5.6,0.072,18.6,4.3,2.5,1.2
14,2010,Washington Mystics,Jenna Smith,,Illinois,0,,,,,,,
15,2010,Connecticut Sun,Allison Hightower,,LSU,6,125,3.8,0.063,19.3,6.1,1.8,1.6
16,2010,New York Liberty,Ashley Houts,,Georgia,1,20,0.2,0.078,5.5,0.9,0.7,0.5
17,2010,San Antonio Silver Stars,Alysha Clark,,Middle Tennessee,10,302,20.6,0.117,23.2,7,3.5,1.5
18,2010,Washington Mystics,Shanavia Dowdell,,Louisiana Tech,0,,,,,,,
19,2010,Tulsa Shock,Amanda Thompson,,Oklahoma,2,28,0.2,0.029,8,1.7,2,0.5
20,2010,Los Angeles Sparks,Angel Robinson,,Georgia,3,64,1,0.06,10.2,2.6,2.6,0.4
21,2010,Atlanta Dream,Brigitte Ardossi,,Georgia Tech,0,,,,,,,
22,2010,Seattle Storm,Tanisha Smith,,Texas A&M,0,,,,,,,
23,2010,Indiana Fever,Armelie Lumanu,,Mississippi State,0,,,,,,,
24,2010,Phoenix Mercury,Tyra Grant,,Penn State,0,,,,,,,
25,2010,New York Liberty,Cory Montgomery,,Nebraska,0,,,,,,,
26,2010,Minnesota Lynx,Gabriela Marginean,,Drexel,1,4,0,-0.095,3,0.5,1,0.3
27,2010,Connecticut Sun,Johannah Leedham,,Franklin Pierce University,0,,,,,,,
28,2010,Chicago Sky,Abi Olajuwon,,Oklahoma,2,22,-0.4,-0.123,5.9,1,0.7,0.1
29,2010,San Antonio Silver Stars,Alexis Rack,,Mississippi State,0,,,,,,,
30,2010,Washington Mystics,Alexis Gray-Lawson,,California,2,46,-0.2,-0.011,13.6,4.1,1.3,1.3
31,2010,Tulsa Shock,Vivian Frieson,,Gonzaga,0,,,,,,,
32,2010,Los Angeles Sparks,Rashidat Junaid,,Rutgers University,0,,,,,,,
33,2010,Atlanta Dream,Brittainey Raven,,Texas,1,23,0,-0.008,5.4,1.5,0.9,0.4
34,2010,Seattle Storm,Tijana Krivacevic,Hungary,,0,,,,,,,
35,2010,Indiana Fever,Joy Cheek,,Duke,2,10,-0.1,-0.093,5,1.8,0.6,0.1
36,2010,Phoenix Mercury,Nyeshia Stevenson,,Oklahoma,0,,,,,,,
1,2009,Atlanta Dream,Angel McCoughtry,,Louisville,13,311,37.6,0.173,28,18.6,5,2.9
2,2009,Washington Mystics,Marissa Coleman,,Maryland,10,319,9.8,0.058,21,6.7,3.1,1.3
3,2009,Chicago Sky,Kristi Toliver,,Maryland,13,369,30.9,0.122,27.4,12,2.2,3.5
4,2009,Minnesota Lynx,Renee Montgomery,,UConn,11,364,19.8,0.092,23.6,9.7,1.7,3.1
5,2009,Phoenix Mercury,DeWanna Bonner,,Auburn,13,422,51.7,0.162,30.3,14.7,6.2,2.3
6,2009,Indiana Fever,Briann January,,Arizona State,14,393,17.5,0.069,25.8,7.8,1.7,3.4
7,2009,Sacramento Monarchs,Courtney Paris,,Oklahoma,10,297,15.9,0.136,15.8,4.7,5.4,0.7
8,2009,New York Liberty,Kia Vaughn,,Rutgers University,13,386,11.9,0.067,18.5,5.9,4.2,0.8
9,2009,Minnesota Lynx,Quanitra Hollingsworth,,VCU,5,124,1.9,0.05,12.2,3.6,3.2,0.2
10,2009,Connecticut Sun,Chante Black,,Duke,4,97,1.7,0.044,15.6,3.8,4.2,0.4
11,2009,Detroit Shock,Shavonte Zellous,,Pitt,12,363,20.2,0.101,21.9,8.5,2.7,1.9
12,2009,Seattle Storm,Ashley Walker,,California,4,25,-0.4,-0.085,7,1.5,1.7,0.4
13,2009,Los Angeles Sparks,Lindsay Wisdom-Hylton,,Purdue,4,124,2.2,0.062,11.4,3.2,2.4,0.6
14,2009,San Antonio Silver Stars,Megan Frazee,,Liberty,2,39,0.8,0.073,10.9,4.7,2.7,0.4
15,2009,Minnesota Lynx,Rashanda McCants,,UNC,2,57,0,0.002,15,4.8,2.1,0.9
16,2009,Chicago Sky,Danielle Gant,,Texas A&M,0,,,,,,,
17,2009,Connecticut Sun,Lyndra Littles,,Virginia,0,,,,,,,
18,2009,Detroit Shock,Britany Miller,,Florida State,1,1,0,-0.041,8,0,0,0
19,2009,Indiana Fever,Christina Wirth,,Vanderbilt,1,21,0.2,0.063,5.8,1,0.7,0.6
20,2009,Sacramento Monarchs,Whitney Boddie,,Auburn,1,4,0,0.002,2.3,0.5,0,0
21,2009,New York Liberty,Abby Waner,,Duke,0,,,,,,,
22,2009,Los Angeles Sparks,Ashley Paris,,Oklahoma,0,,,,,,,
23,2009,Washington Mystics,Camille LeNoir,,USC,0,,,,,,,
24,2009,Washington Mystics,Jelena Milovanovic,MKB Euroleasing,,1,16,0.1,0.021,11.3,4.4,1.5,0.6
25,2009,Atlanta Dream,Shalee Lehning,,Kansas State,3,85,2.1,0.049,20,3.1,2.3,3.8
26,2009,San Antonio Silver Stars,Sonja Petrovic,Serbia,,2,61,1.2,0.054,15,5,2.2,0.8
27,2009,Atlanta Dream,Jessica Morrow,,Baylor,0,,,,,,,
28,2009,Washington Mystics,Josephine Owino,,Union University,0,,,,,,,
29,2009,Chicago Sky,Jennifer Risper,,Vanderbilt,0,,,,,,,
30,2009,Minnesota Lynx,Emily Fox,,Minnesota,0,,,,,,,
31,2009,Phoenix Mercury,Sha Brooks,,Florida,0,,,,,,,
32,2009,Indiana Fever,Danielle Campbell,,Purdue,0,,,,,,,
33,2009,Sacramento Monarchs,Morgan Warburton,,Utah,0,,,,,,,
34,2009,Phoenix Mercury,Jessica Adair,,George Washington,3,51,1.5,0.119,9.9,3.6,2.7,0.3
35,2009,Los Angeles Sparks,Britney Jordan,,Texas A&M University-Commerce,0,,,,,,,
36,2009,Connecticut Sun,Alba Torrens,Real Club Celta Indepo (Spain),,0,,,,,,,
37,2009,Detroit Shock,Tanae Davis-Cain,,Florida State,1,1,-0.1,-0.531,4,2,2,0
38,2009,Seattle Storm,Mara Freshour,,Florida State,0,,,,,,,
39,2009,San Antonio Silver Stars,Candyce Bingham,,Louisville,0,,,,,,,
1,2008,Los Angeles Sparks,Candace Parker,,Tennessee,15,392,62.2,0.207,30.7,16.4,8.6,4
2,2008,Chicago Sky,Sylvia Fowles,,LSU,15,408,73.5,0.239,30.2,15.7,9.8,1.1
3,2008,Minnesota Lynx,Candice Wiggins,,Stanford,8,221,12,0.098,22.3,8.6,2.4,1.9
4,2008,Detroit Shock,Alexis Hornbuckle,,Tennessee,6,187,2,0.023,19,4.6,3.2,1.8
5,2008,Houston Comets,Matee Ajavon,,Rutgers University,10,323,4,0.029,17.4,6.9,1.8,1.8
6,2008,Washington Mystics,Crystal Langhorne,,Maryland,13,406,34.4,0.132,25.7,10.9,6,1.1
7,2008,New York Liberty,Essence Carson,,Rutgers University,13,367,11.8,0.064,20.1,7.2,2.3,1.2
8,2008,Atlanta Dream,Tamera Young,,James Madison University,12,372,6.7,0.033,22,7.1,3.9,1.5
9,2008,Connecticut Sun,Amber Holt,,Middle Tennessee,5,140,4.2,0.058,20.8,6.9,2.9,1.8
10,2008,Sacramento Monarchs,Laura Harper,,Maryland,2,67,1.9,0.076,15.2,5,3.7,0.5
11,2008,Detroit Shock,Tasha Humphrey,,Georgia,2,58,2.3,0.103,15.8,7.2,3.2,0.7
12,2008,Connecticut Sun,Ketia Swanier,,UConn,5,153,-1.3,-0.03,11.5,2.5,1.4,1.7
13,2008,Phoenix Mercury,LaToya Sanders,,UNC,7,155,11.4,0.167,17.6,5.7,4.5,1
14,2008,New York Liberty,Erlana Larkins,,UNC,9,247,20.2,0.158,20.7,5.9,5.4,1.5
15,2008,Los Angeles Sparks,Shannon Bobbitt,,Tennessee,4,118,0.1,0.002,14.9,3.2,1.4,2.2
16,2008,Minnesota Lynx,Nicky Anosike,,Tennessee,5,139,12.5,0.134,26.8,8.9,6.6,1.7
17,2008,Houston Comets,Erica White,,LSU,2,36,0.4,0.034,12.3,3.4,1.4,1.4
18,2008,Detroit Shock,Olayinka Sanni,,West Virginia,3,76,0.5,0.03,9.2,3.3,1.7,0.3
19,2008,Chicago Sky,Quianna Chaney,,LSU,1,28,-0.2,-0.039,8.6,2.4,1,0.9
20,2008,Washington Mystics,Lindsey Pluimer,,UCLA,0,,,,,,,
21,2008,San Antonio Silver Stars,Chioma Nnamaka,,Georgia Tech,1,12,-0.2,-0.11,7,1.3,1,0.2
22,2008,Seattle Storm,Allie Quigley,,DePaul,14,347,18.9,0.097,22.4,10.9,2,2
23,2008,Connecticut Sun,Jolene Anderson,,Wisconsin,1,24,0.1,0.006,15.3,4,2.4,1.1
24,2008,Atlanta Dream,Morenike Atunrase,,Texas A&M,1,33,0,-0.004,10.5,2.2,1.5,0.7
25,2008,Phoenix Mercury,Leilani Mitchell,,Utah,13,398,21,0.095,22.2,6.6,2.1,3
26,2008,Indiana Fever,Khadijah Whittington,,NC State,2,25,0.4,0.072,8.4,2.2,1.6,0.3
27,2008,New York Liberty,Wanisha Smith,,Duke,1,1,0,,0,0,0,0
28,2008,Detroit Shock,Natasha Lacy,,Texas-El Paso,5,79,0.4,0.015,13.6,4.4,2.1,1.8
29,2008,Los Angeles Sparks,Sharnee Zoll,,Virginia,2,25,-0.3,-0.061,8.6,1.1,0.7,1.4
30,2008,Minnesota Lynx,Charde Houston,,UConn,7,206,6.2,0.066,18.3,8.7,3.3,1.2
31,2008,Houston Comets,Crystal Kelly,,Western Kentucky,3,93,3.6,0.123,12.5,4.8,2.1,0.4
32,2008,Atlanta Dream,Danielle Hood,,University of Hartford,0,,,,,,,
33,2008,Chicago Sky,Angela Tisdale,,Baylor,0,,,,,,,
34,2008,Washington Mystics,Krystal Vaughn,,VCU,1,15,-0.4,-0.228,5.2,0.8,1,0
35,2008,New York Liberty,Alberta Auguste,,Tennessee,0,,,,,,,
36,2008,Seattle Storm,Kimberly Beck,,George Washington,1,17,0.4,0.151,5.5,1,0.7,0.4
37,2008,Connecticut Sun,Lauren Ervin,,Arkansas,1,8,0,0.029,7,2,1.6,0
38,2008,Sacramento Monarchs,A'Quonesia Franklin,,Texas A&M,2,36,0,-0.004,10.3,1.5,1.3,1.7
39,2008,San Antonio Silver Stars,Alex Anderson,,Chattanooga,0,,,,,,,
